question_id,answer_filename,answer_text,answer_correct,source,label
00041_36456,M3_1_01_00041_36456_A.png,"$ \\frac{6 \\sqrt{0 . \\dot{6}}}{\\sqrt{2}}=6 \\sqrt{\\frac{6}{9}} \\times \\frac{1}{\\sqrt{2}}=\\frac{6 \\sqrt{6}}{3} \\times \\frac{\\sqrt{2}}{2}=2 \\sqrt{3} $ ① $ (\\sqrt{2}+\\sqrt{3})-2 \\sqrt{3}=\\sqrt{2}-\\sqrt{3}<0 $ 이므로 $ \\sqrt{2}+\\sqrt{3}<2 \\sqrt{3} $ ② $ (3 \\sqrt{3}-2)-2 \\sqrt{3}=\\sqrt{3}-2=\\sqrt{3}-\\sqrt{4}<0 $ 이므로 $ 3 \\sqrt{3}-2<2 \\sqrt{3} $ ③ $ 3 \\sqrt{2}-2 \\sqrt{3}=\\sqrt{18}-\\sqrt{12}>0 $ 이므로 $ 3 \\sqrt{2}>2 \\sqrt{3} $ ④ $ (\\sqrt{48}-3)-2 \\sqrt{3}=(4 \\sqrt{3}-3)-2 \\sqrt{3}=2 \\sqrt{3}-3=\\sqrt{12}-\\sqrt{9}>0 $ 이므로 $ \\sqrt{48}-3>2 \\sqrt{3} $ ⑤ $ (\\sqrt{3}+1)-2 \\sqrt{3}=1-\\sqrt{3}<0 $ 이므로 $ \\sqrt{3}+1<2 \\sqrt{3} $ 따라서 $ \\frac{6 \\sqrt{0 . \\dot{6}}}{\\sqrt{2}} $보다 큰 수는 ③, ④이다. 두 실수 $a, b$에 대하여 (i) $ a-b>0 $ 이면 $ a>b $ (ii) $ a-b=0 $ 이면 $ a=b $ (iii) $ a-b<0 $ 이면 $ a<b $","③, ④",111.수학 과목 문제생성 데이터,validation
00041_36459,M3_1_01_00041_36459_A.png,"\\[ \\begin{array}{l} \\sqrt{5}(\\sqrt{10}-\\sqrt{8})=\\sqrt{50}-\\sqrt{40}=5 \\sqrt{2}-2 \\sqrt{10} \\\\ \\sqrt{a}(\\sqrt{b}+\\sqrt{c})=\\sqrt{a b}+\\sqrt{a c} \\quad(\\text { 단, } a>0, b>0, c>0) \\end{array} \\]",④,111.수학 과목 문제생성 데이터,validation
00041_36511,M3_1_01_00041_36511_A.png,"$ (2 \\sqrt{5}-4)^{2}-(\\sqrt{5}-2)(3 \\sqrt{5}+1)  =\\left\\{(2 \\sqrt{5})^{2}-2 \\times 2 \\sqrt{5} \\times 4+4^{2}\\right\\} \\left.-\\{3 (\\sqrt{5})^{2}+(1-6) \\sqrt{5}-2\\right\\} =(20-16 \\sqrt{5}+16)-(15-5 \\sqrt{5}-2) =23-11 \\sqrt{5} $    $ (a x-b)^{2}=a^{2} x^{2}-2 a b x+b^{2}, \\quad(a x+b)(c x+d)=a c x^{2}+(a d+b c) x+b d $",$ 23-11 \\sqrt{5} $,111.수학 과목 문제생성 데이터,validation
00041_40765,M3_1_01_00041_40765_A.png,"$4<5<9$에서 $2<\\sqrt5<3$이므로 $a=\\sqrt5‒2$ $1<\\sqrt2<4$에서 $1<\\sqrt2<2$이므로 $‒2<‒\\sqrt2<‒1$, $1<3‒\\sqrt2<2$$∴ b=3‒\\sqrt2‒1=2‒\\sqrt2$ 양수$ a$, $b$, $c$에 대하여 $a^2<b<c^2$이면 $a<\\sqrt{b}<c$이다.","$a=\\sqrt5‒2$, $b=2‒\\sqrt2$",111.수학 과목 문제생성 데이터,validation
00041_40779,M3_1_01_00041_40779_A.png,"$ a=-\\frac{1}{2} $ 을 대입하여 계산하면 \\[ \\begin{array}{l} \\sqrt{-a}=\\sqrt{\\frac{1}{2}}, \\sqrt{-\\frac{1}{a}}=\\sqrt{2}, \\\\ \\frac{1}{a}=-2=-\\sqrt{4}, a=-\\frac{1}{2}=-\\sqrt{\\frac{1}{4}}, \\\\ -a^{2}=-\\left(-\\frac{1}{2}\\right)^{2}=-\\frac{1}{4}=-\\sqrt{\\frac{1}{16}} \\\\ \\therefore \\frac{1}{a}<a<-a^2<\\sqrt{-a}<\\sqrt{-\\frac{1}{a}} \\end{array} \\] 따라서 가장 큰 수는 ② $ \\sqrt{-\\frac{1}{a}} $ 이다.  $ -1<a<0 $ 인 적당한 $ a $ 의 값을 대입하여 계산한 결과를 비교해 본다.",②,111.수학 과목 문제생성 데이터,validation
00041_40784,M3_1_01_00041_40784_A.png,"이므로 $ b<c $ \\[ \\therefore b<c<a \\] 세 실수 $ x, y, z $ 에 대하여 $ x<y $ 이고, $ y<z $ 이면 $ x<y<z $ 이다.",④ \\[ \\begin{array}{l} a-c=\\sqrt{6}+1-3=\\sqrt{6}-2=\\sqrt{6}-\\sqrt{4}>0 \\text { 이므로 } a>c \\\\ b-c=\\sqrt{10}-2-3=\\sqrt{10}-5=\\sqrt{10}-\\sqrt{25}<0 \\end{array} \\],111.수학 과목 문제생성 데이터,validation
00041_40800,M3_1_01_00041_40800_A.png,"$ \\square \\mathrm{ABCD}=3^{2}-4 \\times\\left(\\frac{1}{2} \\times 2 \\times 1\\right)=5 $이므로 정사각형 $ \\mathrm{ABCD} $의 한 변의 길이는 $ \\sqrt{5} $이다. 따라서 $ \\overline{\\mathrm{AD}}=\\overline{\\mathrm{AP}}=\\overline{\\mathrm{AB}}=\\overline{\\mathrm{AQ}}=\\sqrt{5} $이고, 점 $ P $는 점 $ A $에서 $ \\sqrt{5} $만큼 왼쪽에 있으므로 점 $ P $의 좌표는 $ 3‒\\sqrt{5} $이고, 점 $ Q $는 점 $ A $보다 $ \\sqrt{5} $만큼 오른쪽에 있으므로 점 $ Q $의 좌표는 $ 3+\\sqrt{5} $이다. $ \\square\\mathrm{ABCD} $의 넓이와 한 변의 길이를 구한다.","$ \\mathrm{P}(3-\\sqrt{5}), \\mathrm{Q}(3+\\sqrt{5}) $",111.수학 과목 문제생성 데이터,validation
00041_40836,M3_1_01_00041_40836_A.png,"$ \\sqrt{\\frac{3}{4}} \\div \\frac{2}{\\sqrt{5}} \\times \\frac{\\sqrt{2}}{\\sqrt{15}}=\\frac{\\sqrt{3}}{2} \\times \\frac{\\sqrt{5}}{2} \\times \\frac{\\sqrt{2}}{\\sqrt{15}}=\\frac{\\sqrt{2}}{4} $ 곱셈과 나눗셈의 혼합 계산은 앞에서부터 순서대로 계산한다. 또한, 나눗셈은 역수를 이용하여 곱셈으로 고친다.",③,111.수학 과목 문제생성 데이터,validation
00041_40870,M3_1_01_00041_40870_A.png,"(1) $ 4 \\sqrt{3}=\\sqrt{4^{2} \\times 3}=\\sqrt{48} $ (2) $ -0.2 \\sqrt{6}=-\\sqrt{[0.2]^{2} \\times 6}=-\\sqrt{0.24} $ $ a>0, b>0 $ 일 때, $ a \\sqrt{b}=\\sqrt{a^{2} b} $",(1) $ \\sqrt{48}(2)-\\sqrt{0.24} $,111.수학 과목 문제생성 데이터,validation
00041_40894,M3_1_01_00041_40894_A.png,"(주어진 식)$ =\\sqrt{36}-3 \\sqrt{2}-a+a \\sqrt{2}=6-a+(a-3) \\sqrt{2} $ 이때 주어진 식이 유리수가 되려면 $ a-3=0 $ 이어야 하므로 $ a=3 $   $ a+b \\sqrt{m}(a, b: $ 유리수, $ \\sqrt{m} $ :무리수$ ) $ 일 때, $ b=0 $이면 유리수가 된다.",③,111.수학 과목 문제생성 데이터,validation
