id,name,semester,description,chapter,achievement,group_count,group_pos_x,group_pos_y
5485,여섯,초등-초1-1학기,다섯에 하나를 더한 수,"{'id': '3', 'name': '9까지의 수 > 몇일까요 (2)'}","{'id': '1', 'name': '50까지의수 개념을이해 하고, 수를 세고 읽고 쓸 수 있다.'}",0,0,0.0
5814,1부터 5까지의 수,초등-초1-1학기,1부터 5까지의 수를 읽고 셀 수 있다.,"{'id': '1', 'name': '9까지의 수 > 몇일까요 (1)'}","{'id': '1', 'name': '50까지의수 개념을이해 하고, 수를 세고 읽고 쓸 수 있다.'}",1,0,0.03225806451612903
5834,수의 순서,초등-초1-1학기,"1부터 9까지의 수 1, 2, 3, 4, 5, 6, 7, 8, 9를 순서대로 나타낼 수 있다.","{'id': '6', 'name': '9까지의 수 > 수의 순서를 알아볼까요'}","{'id': '1', 'name': '50까지의 수 개념을 이해 하고, 수를 세고 읽고 쓸 수 있다.'}",2,0,0.06451612903225806
5835,1 큰 수와 1 작은 수,초등-초1-1학기,"수를 순서대로 썼을 때 바로 앞의 수가 1 작은 수, 바로 뒤의 수가 1 큰 수입니다.","{'id': '7', 'name': '9까지의 수 > 1만큼 더 큰 수와 1만큼 더 작은 수는 무엇일까요'}","{'id': '1', 'name': '50까지의 수 개념을 이해 하고, 수를 세고 읽고 쓸 수 있다.'}",3,0,0.0967741935483871
5836,두 수의 크기 비교하기,초등-초1-1학기,9와 5의 크기를 비교해보면 9는 5보다 큽니다. 5는 9보다 작습니다.,"{'id': '8', 'name': '9까지의 수 > 어느 수가 더 클까요'}","{'id': '1', 'name': '50까지의 수 개념을 이해 하고, 수를 세고 읽고 쓸 수 있다.'}",4,0,0.12903225806451613
5844,여러 가지 모양 찾아보기,초등-초1-1학기,"상자 모양, 기둥 모양, 공 모양","{'id': '9', 'name': '여러 가지 모양 > 여러 가지 모양을 찾아볼까요'}","{'id': '142', 'name': '교실 및 생활 주변에서 여러 가지 물건을 관찰하여 직육면체, 원기둥, 구의 모양을 찾고, 그것들을 이용하여 여러 가지 모양을 만들 수 있다.'}",5,0,0.16129032258064516
5845,여러 가지 모양 알아보기,초등-초1-1학기,,"{'id': '10', 'name': '여러 가지 모양 > 여러 가지 모양을 알아볼까요'}","{'id': '143', 'name': '쌓기 나무를 이용하여 여러 가지 입체도형의 모양을 만들 수 있다.'}",6,0,0.1935483870967742
5846,여러 가지 모양으로 만들기,초등-초1-1학기,,"{'id': '10', 'name': '여러 가지 모양 > 여러 가지 모양을 알아볼까요'}","{'id': '144', 'name': '쌓기 나무를 이용하여 만든 모양을 보고 위치나 방향을 이용하여 말할 수 있다.'}",7,0,0.22580645161290322
5848,여러 가지 모양 알아보기,초등-초1-1학기,,{'name': 'nan'},{'name': 'nan'},8,0,0.25806451612903225
6307,여러 가지 모양 알아보기,초등-초1-1학기,"상자 모양은 뾰족한 부분, 평평한 부분이 있습니다.","{'id': '10', 'name': '여러 가지 모양 > 여러 가지 모양을 알아볼까요'}","{'id': '185', 'name': '교실 및 생활 주변에서 여러 가지 물건을 관찰하여 직육면체, 원기둥, 구의 모양을 찾고, 그것들을 이용하여 여러 가지 모양을 만들 수 있다.'}",9,0,0.2903225806451613
6308,여러 가지 모양 만들어보기,초등-초1-1학기,"상자 모양, 기둥 모양, 공 모양을 이용하여 나만의 모양을 만들 수 있습니다.","{'id': '10', 'name': '여러 가지 모양 > 여러 가지 모양을 알아볼까요'}","{'id': '185', 'name': '교실 및 생활 주변에서 여러 가지 물건을 관찰하여 직육면체, 원기둥, 구의 모양을 찾고, 그것들을 이용하여 여러 가지 모양을 만들 수 있다.'}",10,0,0.3225806451612903
6409,모으기와 가르기,초등-초1-1학기,5가 되도록 모으는 방법과 5를 가르는 방법은 여러 가지입니다.,"{'id': '11', 'name': '덧셈과 뺄셈 > 모으기와 가르기를 해 볼까요 (1)'}",{'name': 'nan'},11,0,0.3548387096774194
6420,덧셈과 뺼셈하기,초등-초1-1학기,더하는 수가 1씩 커지면 합도 1씩 커집니다. 빼는 수가 1씩 커지면 차는 1씩 작아집니다.,"{'id': '21', 'name': '덧셈과 뺄셈 > 덧셈과 뺄셈을 해 볼까요'}",{'name': 'nan'},12,0,0.3870967741935484
6453,길이 비교하기,초등-초1-1학기,한쪽 끝이 맞추어져 있을 때 반대쪽 끝을 비교합니다.,"{'id': '22', 'name': '비교하기 > 어느 것이 더 길까요'}","{'id': '230', 'name': '구체물의 길이, 들이, 무게, 넓이를 비교하여 각각 ‘길다, 짧다’, ‘많다, 적다’, ‘무겁다, 가볍다’, ‘넓다, 좁다’ 등을 구별하여 말할 수 있다.'}",13,0,0.41935483870967744
6456,담을 수 있는 양 비교하기,초등-초1-1학기,그릇의 크기가 클수록 담을 수 있는 양이 더 많습니다.,"{'id': '25', 'name': '비교하기 > 어느 것에 더 많이 담을 수 있을까요'}","{'id': '230', 'name': '구체물의 길이, 들이, 무게, 넓이를 비교하여 각각 ‘길다, 짧다’, ‘많다, 적다’, ‘무겁다, 가볍다’, ‘넓다, 좁다’ 등을 구별하여 말할 수 있다.'}",14,0,0.45161290322580644
6555,몇십 몇 알아보기,초등-초1-1학기,"10개씩 묶음 2개와 낱개 3개를 23이라 적고, 이십삼 또는 스물셋이라고 읽습니다.","{'id': '30', 'name': '50까지의 수 > 50까지의 수를 세어 볼까요'}","{'id': '1', 'name': '50까지의 수 개념을이해 하고, 수를 세고 읽고 쓸 수 있다.'}",15,0,0.4838709677419355
6556,50까지  수의 순서,초등-초1-1학기,수를 순서대로 쓰면 1씩 커집니다. 수의 순서를 거꾸로 쓰면 1씩 작아집니다.,"{'id': '31', 'name': '50까지의 수 > 수의 순서를 알아볼까요'}","{'id': '5', 'name': '50까지의 수의 계열을 이해하고, 수의 크기를 비교할 수 있다.'}",16,0,0.5161290322580645
6557,10개씩 묶음의 수가 다를 때,초등-초1-1학기,10개씩 묶음의 수를 비교합니다.,"{'id': '32', 'name': '50까지의 수 > 어느 수가 더 클까요'}","{'id': '5', 'name': '50까지의 수의 계열을 이해하고, 수의 크기를 비교할 수 있다.'}",17,0,0.5483870967741935
7581,첫째,초등-초1-1학기,"차례를 매길 때, 맨 처음에 오는 수","{'id': '5', 'name': '9까지의 수 > 몇째일까요'}","{'id': '5', 'name': '50까지의 수의 계열을 이해하고, 수의 크기를 비교할 수 있다.'}",18,0,0.5806451612903226
7593,0,초등-초1-1학기,아무것도 없는 것을 0이라 쓰고 영이라고 읽습니다.\n0은 1보다 1작은 수 입니다.,"{'id': '7', 'name': '9까지의 수 > 1만큼 더 큰 수와 1만큼 더 작은 수는 무엇일까요'}","{'id': '5', 'name': '50까지의 수의 계열을 이해하고, 수의 크기를 비교할 수 있다.'}",19,0,0.6129032258064516
7595,'+'와 '=' 기호를 사용하여 덧셈을 쓰고 읽기,초등-초1-1학기,쓰기: 5+2=7\n읽기: 5 더하기 2는 7과 같습니다. 5와 2의 합은 7입니다.,"{'id': '14', 'name': '덧셈과 뺄셈 > 더하기는 어떻게 나타낼까요'}","{'id': '9', 'name': '하나의 수를 두 수로 분해하고, 두 수를 하나의 수로 합성할 수 있다.'}",20,0,0.6451612903225806
7596,그림 그리기를 이용하여 덧셈하기,초등-초1-1학기,○를 3개 그리고 5개를 더 그리면 모두 8개입니다. → 3+5=8,"{'id': '15', 'name': '덧셈과 뺄셈 > 덧셈을 해 볼까요 (1)'}","{'id': '9', 'name': '하나의 수를 두 수로 분해하고, 두 수를 하나의 수로 합성할 수 있다.'}",21,0,0.6774193548387096
7597,수 모으기를 이용하여 덧셈하기,초등-초1-1학기,3과 4를 모으기 하면 7이므로 3과 4를 더하면 7이 됩니다. → 3+4=7,"{'id': '16', 'name': '덧셈과 뺄셈 > 덧셈을 해 볼까요 (2)'}","{'id': '9', 'name': '하나의 수를 두 수로 분해하고, 두 수를 하나의 수로 합성할 수 있다.'}",22,0,0.7096774193548387
